,instance,ilp,cp
0,1,0.755945171,0.755945171
1,2,0.656717018,0.656717018
2,3,0.735177576,0.735177576
3,4,0.401361613,0.401361613
4,5,0.424703903,0.424703903
5,6,0.63032517,0.63032517
6,7,0.999902945,0.999902945
7,8,0.828185051,0.828185051
8,9,0.883189732,0.883189732
9,10,0.62128857,0.62128857
10,11,0.533351521,0.533351521
11,12,0.457200464,0.457200464
12,13,0.428680058,0.428680058
13,14,0.359787636,0.359787636
14,15,0.486844986,0.486844986
15,16,0.67186495,0.67186495
16,17,0.601028905,0.601028905
17,18,0.599623808,0.599623808
18,19,0.832616322,0.832616322
19,20,0.424647579,0.424647579
20,21,0.557630426,0.557630426
21,22,0.2841111,0.2841111
22,23,0.499195144,0.499195144
23,24,0.55397448,0.55397448
24,25,0.279064552,0.279064552
25,26,0.483856189,0.483840208
26,27,0.661343557,0.661343557
27,28,0.464839771,0.464839771
28,29,0.849056144,0.849028151
29,30,0.442792686,0.442792686
30,31,0.511261252,0.511261252
31,32,0.640506768,0.640506768
32,33,0.421279538,0.421279538
33,34,0.545728053,0.545728053
34,35,0.250222924,0.250222924
35,36,0.320326205,0.320326205
36,37,0.898052035,0.898052035
37,38,0.695414204,0.69538406
38,39,0.795184633,0.795184633
39,40,0.68944288,0.68944288
40,41,0.241326571,0.241326571
41,42,0.620992772,0.624501545
42,43,0.296115399,0.296115399
43,44,0.299312553,0.299312553
44,45,0.586315348,0.588143983
45,46,0.656392256,0.538721983
46,47,0.535600496,0.532188693
47,48,0.835093206,0.632245235
48,49,0.441491836,0.38962101
49,50,0.518830772,0.416789319
50,51,0.467695217,0.467696054
51,52,0.437442443,0.437441011
52,53,0.391016641,0.390942371
53,54,0.178265341,0.178265341
54,55,0.789446188,0.789446078
55,56,0.360809891,0.306582298
56,57,0.546015921,0.561972635
57,58,0.636775486,0.636753337
58,59,0.433570218,0.434410394
59,60,-1.0,0.638912781
60,61,-1.0,0.226057913
61,62,-1.0,0.465621297
62,63,-1.0,0.189544925
63,64,-1.0,0.38262689
64,65,-1.0,0.660789494
65,66,-1.0,0.706287829
66,67,-1.0,0.201691953
67,68,-1.0,0.741686472
68,69,-1.0,0.429775862
69,70,0.832387352,0.732153575
70,71,-1.0,0.294739834
71,72,-1.0,0.251744715
72,73,-1.0,0.61038971
73,74,-1.0,0.631197746
74,75,0.165843224,0.165843224
75,76,-1.0,0.47718309
76,77,-1.0,0.249474984
77,78,-1.0,0.255580778
78,79,-1.0,0.593916365
79,80,-1.0,0.276431757
0,81,-1.0,0.17226021099241953
1,82,-1.0,0.08379218397941574
2,83,-1.0,0.6514456357076557
3,84,-1.0,-1.0
4,85,-1.0,0.9976930806591966
5,86,-1.0,-1.0
6,87,-1.0,0.3122834272174894
7,88,-1.0,-1.0
8,89,-1.0,0.18053366374744673
9,90,-1.0,-1.0
10,91,-1.0,0.2507283864092613
11,92,-1.0,-1.0
12,93,-1.0,0.16614849958813205
13,94,-1.0,-1.0
14,95,-1.0,-1.0
15,96,-1.0,0.6472676478349259
16,97,-1.0,0.8317214909219344
17,98,-1.0,-1.0
18,99,-1.0,-1.0
19,100,-1.0,-1.0
20,101,-1.0,0.24619217641078017
21,102,-1.0,-1.0
22,103,-1.0,-1.0
23,104,-1.0,0.2746526106515934
24,105,-1.0,0.6283340221798602
25,106,-1.0,0.4223940437837664
26,107,-1.0,-1.0
27,108,-1.0,-1.0
28,109,-1.0,0.21696672246327792
29,110,-1.0,-1.0
30,111,-1.0,-1.0
31,112,-1.0,0.06294938044341382
32,113,-1.0,0.36813909279215734
33,114,-1.0,-1.0
34,115,-1.0,0.6535055508489833
35,116,-1.0,0.1358821551299206
36,117,-1.0,0.6591694182787375
37,118,-1.0,0.3641764143036219
38,119,-1.0,0.6765334473362282
39,120,-1.0,-1.0
