,instance,time_seconds_mean,total_cost_mean,time_seconds_min,total_cost_min
0,1,26.7768,0.692,17.431,0.692
1,2,29.361130000000003,0.7016666666666667,17.0919,0.7016666666666667
2,3,31.646910000000002,0.45,20.8293,0.45
3,4,20.52853,0.3933333333333333,12.2472,0.3933333333333333
4,5,18.22561,0.3974712643678161,11.9518,0.3974712643678161
5,6,26.27638,0.6733333333333333,16.5234,0.6733333333333333
6,7,70.24181999999999,0.8538092147955872,45.4018,0.8538092147955872
7,8,67.76721,0.8694915254237288,51.2247,0.8694915254237288
8,9,75.60121000000001,0.8280851063829788,43.5262,0.8280851063829787
9,10,19.711509999999997,0.6372,12.6018,0.6372
10,11,25.193459999999998,0.6293333333333333,14.583,0.6293333333333333
11,12,26.863620000000004,0.576,18.8073,0.576
12,13,20.226409999999998,0.5963322033898305,11.4472,0.5843389830508474
13,14,20.35991,0.5788148148148148,13.3981,0.5788148148148148
14,15,22.61888,0.5526666666666666,16.7528,0.5526666666666666
15,16,44.64354,0.7858823529411765,29.6452,0.7858823529411765
16,17,47.86938,0.45346320346320346,20.7325,0.45175324675324674
17,18,60.829240000000006,0.7363636363636363,37.4036,0.7363636363636363
18,19,60.307320000000004,0.5304,40.8297,0.5304
19,20,20.60164,0.4572493345164153,13.6498,0.45724933451641525
20,21,42.859359999999995,0.49142857142857144,27.5075,0.49142857142857144
21,22,39.3523,0.48533333333333334,25.7362,0.48533333333333334
22,23,41.91894,0.6394595317725753,26.234,0.6390903010033445
23,24,42.20001,0.6143333333333333,27.1009,0.6143333333333333
24,25,34.502700000000004,0.49207843137254903,21.0423,0.49207843137254903
25,26,38.85473,0.5946666666666667,28.3672,0.5946666666666667
26,27,54.70473,0.7880784313725491,32.4082,0.7880784313725491
27,28,42.58394,0.4744533333333333,23.8988,0.47445333333333334
28,29,50.80356,0.692770909090909,31.5869,0.6926545454545454
29,30,32.7981,0.6079387234042554,22.9886,0.6079387234042554
30,31,37.92903,0.5189333333333334,25.8031,0.5189333333333334
31,32,44.42589,0.5173333333333333,27.6108,0.5173333333333333
32,33,39.47977,0.48691320754716977,21.7984,0.48150943396226414
33,34,40.48892,0.6996622222222222,25.7525,0.6996622222222222
34,35,31.97052,0.32913805522208883,19.4221,0.31940456182472987
35,36,57.15821,0.56,44.5594,0.56
36,37,71.43892,0.9148799999999999,45.186,0.91488
37,38,38.93851,0.5744603076923077,27.09,0.5696492307692308
38,39,43.86382,0.7305515151515152,28.0354,0.7305515151515152
39,40,38.46298,0.5647704615384616,23.8129,0.5643815384615385
40,41,75.05814000000001,0.5148571428571429,49.8515,0.5148571428571429
41,42,78.79783,0.66,59.6261,0.66
42,43,60.77646,0.56,47.9605,0.56
43,44,66.46783,0.5450066666666666,47.3299,0.5450066666666666
44,45,81.07915,0.6991225296442687,65.123,0.6971604743083004
45,46,67.6155,0.5901333333333333,46.0353,0.5901333333333333
46,47,71.07433999999999,0.6331295938104449,44.4115,0.6331295938104449
47,48,56.752520000000004,0.5579510204081632,43.7084,0.5449763265306122
48,49,67.28488,0.6244,49.2149,0.62384
49,50,65.73983,0.5418000000000001,42.2422,0.5396666666666666
50,51,56.73162,0.6165714285714285,45.7543,0.6165714285714285
51,52,68.22183,0.5906666666666667,57.1543,0.5906666666666667
52,53,67.03972999999999,0.564,40.2788,0.564
53,54,54.4366,0.4666666666666667,39.1005,0.4666666666666667
54,55,75.27979,0.7645387755102041,59.17,0.7631020408163265
55,56,53.90803,0.49333333333333335,38.331,0.49333333333333335
56,57,65.2393,0.54656,39.0416,0.544
57,58,70.03845,0.6704727272727273,55.1646,0.6687272727272727
58,59,55.09385999999999,0.57245,34.9393,0.5693333333333334
59,60,60.65650000000001,0.6508012121212121,41.0236,0.6425535353535353
60,61,108.53562,0.4998285714285714,80.2415,0.49714285714285716
61,62,162.13510000000002,0.6444907547169811,111.056,0.6396849056603774
62,63,99.69596,0.44741454545454545,74.1185,0.44136969696969697
63,64,126.65216000000001,0.5749159090909091,84.3567,0.5731742424242424
64,65,145.30630000000002,0.6172431972789115,119.466,0.611078231292517
65,66,190.6402,0.8006666666666666,140.304,0.8006666666666666
66,67,117.50546999999999,0.4560666666666666,84.2392,0.4553333333333333
67,68,178.4879,0.7427846274509804,144.538,0.7422086274509804
68,69,129.10933,0.5481119999999999,86.0554,0.5441692307692307
69,70,142.2726,0.6455132307692308,103.556,0.6420030769230769
70,71,112.549,0.528,77.3808,0.528
71,72,111.52889,0.5086666666666667,73.8949,0.5086666666666667
72,73,119.17370000000001,0.5710666666666666,94.078,0.5693333333333334
73,74,148.34874,0.6598083333333333,98.3024,0.6590833333333334
74,75,102.55478000000001,0.47699607843137254,66.9456,0.47699607843137254
75,76,114.65504000000001,0.6666666666666666,80.6279,0.6666666666666666
76,77,98.35857,0.4754666666666667,68.7862,0.4746666666666667
77,78,104.35696,0.3569333333333333,72.848,0.35533333333333333
78,79,109.42028,0.6645730612244898,78.5517,0.6644930612244898
79,80,96.25113,0.47140329411764703,63.2424,0.46445333333333333
80,81,337.82309999999995,0.38408000000000003,235.294,0.3818666666666667
81,82,267.9549,0.42288,206.777,0.4226666666666667
82,83,384.084,0.6777599999999999,304.711,0.6757333333333333
83,84,409.3852,0.7034215856777494,300.775,0.7017350383631713
84,85,393.4826,0.6149866666666667,305.382,0.6109333333333333
85,86,370.0646,0.6315733333333333,280.462,0.6304
86,87,283.8087,0.48944,222.47,0.48746666666666666
87,88,266.962,0.4459050676982592,219.685,0.44047659574468084
88,89,300.5335,0.46719999999999995,230.795,0.4672
89,90,279.1717,0.5667796705882353,218.75,0.5617549803921569
90,91,273.3172,0.50088,201.388,0.5
91,92,216.3717,0.42251224080267563,159.784,0.4174408026755853
92,93,261.3478,0.43605333333333335,213.72,0.4344
93,94,350.3568,0.4879017142857143,240.801,0.48206171428571426
94,95,375.7712,0.6870891644204852,273.636,0.6859299191374663
95,96,314.49629999999996,0.6395466666666667,232.094,0.6381333333333333
96,97,283.11620000000005,0.38850666666666667,203.294,0.3872
97,98,224.70430000000002,0.5071672615384616,166.403,0.5020073846153846
98,99,304.92650000000003,0.6523232,227.349,0.650912
99,100,267.9724,0.45568,209.38,0.4530666666666667
100,101,560.6144,0.44299999999999995,455.306,0.4417333333333333
101,102,641.4305,0.47237841269841274,423.84,0.47128888888888887
102,103,721.5037,0.605291294117647,618.935,0.6007783529411764
103,104,630.4440999999999,0.41361333333333333,493.931,0.41173333333333334
104,105,777.0703000000001,0.6574466666666667,573.448,0.6564666666666666
105,106,656.7733000000001,0.5587066666666667,513.655,0.5577333333333333
106,107,743.4428,0.7490688,563.717,0.747648
107,108,585.938,0.47752,475.575,0.476
108,109,539.1769999999999,0.43323999999999996,457.582,0.4312
109,110,697.0319,0.651614158490566,564.535,0.6509542641509434
110,111,685.6097,0.7175678431372549,518.624,0.7165176470588235
111,112,557.3318999999999,0.32004,407.434,0.3184
112,113,507.7892,0.4928,412.414,0.49133333333333334
