,instance,LNS
0,1,0.755945171
1,2,0.656717018
2,3,0.735177576
3,4,0.401361613
4,5,0.424703903
5,6,0.63032517
6,7,0.999902945
7,8,0.828185051
8,9,0.883189732
9,10,0.62128857
10,11,0.533351521
11,12,0.457200464
12,13,0.428680058
13,14,0.359787636
14,15,0.486844986
15,16,0.67186495
16,17,0.601028905
17,18,0.599623808
18,19,0.832616322
19,20,0.424647579
20,21,0.557630426
21,22,0.2841111
22,23,0.499195144
23,24,0.55397448
24,25,0.279064552
25,26,0.483840208
26,27,0.661343557
27,28,0.464839771
28,29,0.849028151
29,30,0.442792686
30,31,0.511261252
31,32,0.640506768
32,33,0.421279538
33,34,0.545728053
34,35,0.250222924
35,36,0.320326205
36,37,0.898052035
37,38,0.69538406
38,39,0.795184633
39,40,0.68944288
1,41,0.241327
2,42,0.620993
3,43,0.296115
4,44,0.299313
5,45,0.586315
6,46,0.538633
7,47,0.532189
8,48,0.632253
9,49,0.389621
10,50,0.416789
11,51,0.467695
12,52,0.437441
13,53,0.390942
14,54,0.178265
15,55,0.789446
16,56,0.302972
17,57,0.533712
18,58,0.636753
19,59,0.43144
20,60,0.638913
21,61,0.217807
22,62,0.47498
23,63,0.175111
24,64,0.3518
25,65,0.643547
26,66,0.706288
27,67,0.201692
28,68,0.739719
29,69,0.420412
30,70,0.733326
31,71,0.292932
32,72,0.251745
33,73,0.583852
34,74,0.628654
35,75,0.165843
36,76,0.477183
37,77,0.241659
38,78,0.241633
39,79,0.590193
40,80,0.27643
41,81,0.174379
42,82,0.072957
43,83,0.683417
44,84,0.686725
45,85,0.653231
46,86,0.676242
47,87,0.320015
48,88,0.194639
49,89,0.178418
50,90,0.426427
51,91,0.257307
52,92,0.132926
53,93,0.225655
54,94,0.64436
55,95,0.669337
56,96,0.656608
57,97,0.266864
58,98,0.309522
59,99,0.686449
60,100,0.304681
61,101,0.302296
62,102,0.208806
63,103,0.660119
64,104,0.259952
65,105,0.658976
66,106,0.471175
67,107,0.706399
68,108,0.524677
69,109,0.235795
70,110,0.646244
71,111,0.633516
72,112,0.067793
73,113,0.478973
74,114,0.685323
75,115,0.660313
76,116,0.147607
77,117,0.701874
78,118,0.418431
79,119,0.697932
80,120,0.351474
