,instance,LNS
0,1,0.692
1,2,0.7016666666666667
2,3,0.45
3,4,0.3933333333333333
4,5,0.3974712643678161
5,6,0.6733333333333333
6,7,0.8538092147955872
7,8,0.8694915254237288
8,9,0.8280851063829787
9,10,0.6372
10,11,0.636
11,12,0.576
12,13,0.6083254237288136
13,14,0.5788148148148148
14,15,0.5526666666666666
15,16,0.943921568627451
16,17,0.45175324675324674
17,18,0.7363636363636363
18,19,0.5304
19,20,0.46610470275066546
20,21,0.49142857142857144
21,22,0.48533333333333334
22,23,0.6390903010033445
23,24,0.6143333333333333
24,25,0.49207843137254903
25,26,0.5946666666666667
26,27,0.7880784313725491
27,28,0.47445333333333334
28,29,0.6926545454545454
29,30,0.6079387234042554
30,31,0.5189333333333334
31,32,0.5173333333333333
32,33,0.481811320754717
33,34,0.6932622222222222
34,35,0.31940456182472987
35,36,0.632
36,37,0.91488
37,38,0.5771569230769231
38,39,0.7305515151515152
39,40,0.5643815384615385
40,41,0.5148571428571429
41,42,0.6626666666666666
42,43,0.56
43,44,0.5450066666666666
44,45,0.6940521739130435
45,46,0.5901333333333333
46,47,0.6340386847195358
47,48,0.5489208163265306
48,49,0.62496
49,50,0.5396666666666666
50,51,0.6165714285714285
51,52,0.5906666666666667
52,53,0.5653333333333334
53,54,0.4666666666666667
54,55,0.7635918367346939
55,56,0.49333333333333335
56,57,0.544
57,58,0.6719127272727273
58,59,0.5683333333333334
59,60,0.6479838383838383
60,61,0.5021428571428571
61,62,0.6685698113207548
62,63,0.4634989898989899
63,64,0.6161818181818182
64,65,0.6663061224489796
65,66,0.8006666666666666
66,67,0.45666666666666667
67,68,0.7542086274509804
68,69,0.5712984615384615
69,70,0.6942584615384615
70,71,0.5286666666666666
71,72,0.5313333333333333
72,73,0.586
73,74,0.6893333333333334
74,75,0.47699607843137254
75,76,0.6666666666666666
76,77,0.482
77,78,0.374
78,79,0.6896195918367347
79,80,0.46821960784313726
80,81,0.4261333333333333
81,82,0.4322666666666667
82,83,0.7656
83,84,0.7474264279624894
84,85,0.7104
85,86,0.7042666666666667
86,87,0.5642666666666667
87,88,0.47888588007736943
88,89,0.472
89,90,0.6075739607843137
90,91,0.5277333333333334
91,92,0.47273979933110366
92,93,0.5405333333333333
93,94,0.6433371428571428
94,95,0.7322522911051212
95,96,0.7296
96,97,0.4693333333333333
97,98,0.5736430769230769
98,99,0.722912
99,100,0.5157333333333334
100,101,0.5601333333333334
101,102,0.5196952380952381
102,103,0.7205261176470589
103,104,0.5321333333333333
104,105,0.715
105,106,0.6396
106,107,0.800496
107,108,0.6358666666666667
108,109,0.5108
109,110,0.7378375849056604
110,111,0.7659372549019607
111,112,0.388
112,113,0.6148
113,114,0.7169929411764706
114,115,0.6608
115,116,0.4612
116,117,0.7829333333333334
117,118,0.5557333333333333
118,119,0.7721333333333333
119,120,0.5774694901960784
