,instance_name,damodaran_min,damodaran_mean,DA_time
224,10J_30p_5m_5%_20s-5.dzn,32,32.5,0.12311069170633947
225,10J_30p_5m_5%_5s-1.dzn,29,30.5,0.10046219825744623
226,10J_30p_5m_5%_5s-2.dzn,34,34.333333333333336,0.10216800371805818
227,10J_30p_5m_5%_5s-3.dzn,33,34.833333333333336,0.10369714101155593
228,10J_30p_5m_5%_5s-4.dzn,35,35.0,0.09917302926381426
229,10J_30p_5m_5%_5s-5.dzn,28,28.0,0.09542318185170486
230,10J_30p_5m_50%_20s-1.dzn,80,80.0,0.12397201855977373
231,10J_30p_5m_50%_20s-2.dzn,76,76.0,0.12944952646891275
232,10J_30p_5m_50%_20s-3.dzn,120,120.0,0.11394087473551429
233,10J_30p_5m_50%_20s-4.dzn,87,87.16666666666667,0.1193844079971313
234,10J_30p_5m_50%_20s-5.dzn,74,74.16666666666667,0.12014051278432204
235,10J_30p_5m_50%_5s-1.dzn,58,58.0,0.10618758201599114
236,10J_30p_5m_50%_5s-2.dzn,86,86.33333333333333,0.10422348976135253
237,10J_30p_5m_50%_5s-3.dzn,99,100.33333333333333,0.09953419367472323
238,10J_30p_5m_50%_5s-4.dzn,95,101.16666666666667,0.10210017363230382
239,10J_30p_5m_50%_5s-5.dzn,73,74.33333333333333,0.10793797175089513
240,200J_10p_3m_10%_20s-1.dzn,223,239.16666666666666,47.48125779628754
241,200J_10p_3m_10%_20s-2.dzn,224,240.33333333333334,43.696845849355064
242,200J_10p_3m_10%_20s-3.dzn,237,251.16666666666666,45.95960001150767
243,200J_10p_3m_10%_20s-4.dzn,219,235.0,45.658071875572205
244,200J_10p_3m_10%_20s-5.dzn,246,264.8333333333333,47.862632513046265
245,200J_10p_3m_10%_5s-1.dzn,114,114.5,43.66610503196716
246,200J_10p_3m_10%_5s-2.dzn,116,117.83333333333333,43.84927852948507
247,200J_10p_3m_10%_5s-3.dzn,118,119.16666666666667,43.40188205242157
248,200J_10p_3m_10%_5s-4.dzn,112,114.16666666666667,43.73206619421641
249,200J_10p_3m_10%_5s-5.dzn,118,119.5,46.04899978637695
250,200J_10p_3m_5%_20s-1.dzn,199,214.0,47.921481927235924
251,200J_10p_3m_5%_20s-2.dzn,242,256.8333333333333,48.86893618106842
252,200J_10p_3m_5%_20s-3.dzn,217,233.16666666666666,46.32892199357351
253,200J_10p_3m_5%_20s-4.dzn,234,248.16666666666666,45.50558280944824
254,200J_10p_3m_5%_20s-5.dzn,221,239.0,46.72596983114878
255,200J_10p_3m_5%_5s-1.dzn,70,84.0,45.80690868695577
256,200J_10p_3m_5%_5s-2.dzn,75,87.16666666666667,45.818402806917824
257,200J_10p_3m_5%_5s-3.dzn,71,85.0,45.60790999730428
258,200J_10p_3m_5%_5s-4.dzn,72,85.5,46.574625174204506
259,200J_10p_3m_5%_5s-5.dzn,72,86.16666666666667,47.48012411594391
260,200J_10p_3m_50%_20s-1.dzn,527,527.3333333333334,42.6752907037735
261,200J_10p_3m_50%_20s-2.dzn,535,535.6666666666666,43.54979554812113
262,200J_10p_3m_50%_20s-3.dzn,558,558.0,42.820310632387795
263,200J_10p_3m_50%_20s-4.dzn,510,511.8333333333333,44.55993537108103
264,200J_10p_3m_50%_20s-5.dzn,549,549.3333333333334,40.58682930469513
265,200J_10p_3m_50%_5s-1.dzn,575,575.0,45.272536158561714
266,200J_10p_3m_50%_5s-2.dzn,574,574.1666666666666,47.42678165435791
267,200J_10p_3m_50%_5s-3.dzn,570,570.3333333333334,45.831910173098244
268,200J_10p_3m_50%_5s-4.dzn,538,538.1666666666666,44.270743211110435
269,200J_10p_3m_50%_5s-5.dzn,574,574.0,45.53724046548208
270,200J_10p_5m_10%_20s-1.dzn,143,151.5,48.60029729207357
271,200J_10p_5m_10%_20s-2.dzn,143,152.16666666666666,44.84323251247406
272,200J_10p_5m_10%_20s-3.dzn,150,158.5,47.257344683011375
273,200J_10p_5m_10%_20s-4.dzn,139,149.0,46.682483633359276
274,200J_10p_5m_10%_20s-5.dzn,157,166.16666666666666,48.83190190792084
275,200J_10p_5m_10%_5s-1.dzn,114,114.0,43.90001519521078
276,200J_10p_5m_10%_5s-2.dzn,115,116.16666666666667,44.154539386431374
277,200J_10p_5m_10%_5s-3.dzn,117,117.16666666666667,43.68474694093069
278,200J_10p_5m_10%_5s-4.dzn,112,112.0,44.02337288856506
279,200J_10p_5m_10%_5s-5.dzn,118,118.0,46.40723482767741
