,instance,total_cost,seed,normalization_constant,cost,solver
125,78,2466,48,3000,0.822,R
126,70,3377976,42,3900000,0.8661476923076923,R
127,79,561669,45,612500,0.917010612244898,R
128,36,835,49,875,0.9542857142857143,R
129,118,11380,50,15000,0.7586666666666667,R
130,74,486864,47,552000,0.882,R
131,112,12750,49,15000,0.85,R
132,113,13110,44,15000,0.874,R
133,72,2667,51,3000,0.889,R
134,40,121664,48,162500,0.7487015384615384,R
135,48,6446440,42,7043750,0.9152,R
136,41,1588,45,1750,0.9074285714285715,R
137,120,2866144,50,3187500,0.899182431372549,R
138,81,6734,48,7500,0.8978666666666667,R
139,89,5834,42,7500,0.7778666666666667,R
140,80,13266975,45,14662500,0.9048235294117647,R
141,71,2574,50,3000,0.858,R
142,119,14172,42,15000,0.9448,R
143,110,3082407,45,3312500,0.930537962264151,R
144,111,11574836,48,11602500,0.9976156862745098,R
145,77,2458,46,3000,0.8193333333333334,R
146,35,1819231,48,2394875,0.7596350540216087,R
147,73,2828,43,3000,0.9426666666666667,R
148,39,710405,47,825000,0.8610969696969697,R
149,34,110508,45,112500,0.9822933333333334,R
150,35,1835009,51,2394875,0.7662232893157263,R
151,117,14432,47,15000,0.9621333333333333,R
152,113,13080,42,15000,0.872,R
153,33,183155,47,231875,0.7898867924528302,R
154,71,2582,49,3000,0.8606666666666667,R
155,37,261240,42,262500,0.9952,R
156,111,11574836,51,11602500,0.9976156862745098,R
157,79,562159,43,612500,0.9178106122448979,R
158,70,3423528,44,3900000,0.8778276923076923,R
159,46,3504,47,3750,0.9344,R
160,42,1318,42,1500,0.8786666666666667,R
161,81,6776,51,7500,0.9034666666666666,R
162,87,7162,47,7500,0.9549333333333333,R
163,83,7268,42,7500,0.9690666666666666,R
164,40,117400,51,162500,0.7224615384615385,R
165,120,2867419,49,3187500,0.899582431372549,R
166,73,2828,42,3000,0.9426666666666667,R
167,35,1853041,49,2394875,0.7737527010804321,R
168,77,2520,47,3000,0.84,R
169,34,110616,44,112500,0.9832533333333333,R
170,39,711230,46,825000,0.8620969696969697,R
171,119,14186,43,15000,0.9457333333333333,R
172,110,3077266,44,3312500,0.928985962264151,R
173,71,2566,51,3000,0.8553333333333333,R
