,instance,time_seconds_mean,total_cost_mean,time_seconds_min,total_cost_min
0,1,11.588486,0.7559451705451068,7.03506,0.7559451705451068
1,2,10.971822,0.6567170175156677,7.1238,0.6567170175156677
2,3,17.16471,0.7351775755796889,11.0799,0.7351775755796889
3,4,4.440316,0.40136161298769313,2.63579,0.40136161298769313
4,5,3.6673090000000004,0.42470390306044487,2.35364,0.42470390306044487
5,6,8.500629,0.6303251697880222,5.87987,0.6303251697880222
6,7,22.19491,0.9999029450266427,15.7435,0.9999029450266428
7,8,8.40278,0.8281850508834008,5.46106,0.8281850508834008
8,9,16.929920000000003,0.8831897324185217,13.0952,0.8831897324185217
9,10,4.203872,0.6212885698755256,2.54595,0.6212885698755256
10,11,5.863374,0.5333515209384804,3.70246,0.5333515209384804
11,12,5.867005000000001,0.4651554958147492,3.74648,0.4572004643489949
12,13,5.360646,0.45769857274384307,3.13959,0.4576985727438431
13,14,7.726946,0.3779694695433858,5.00266,0.359787636104883
14,15,4.8393880000000005,0.4868449858005509,2.78703,0.48684498580055097
15,16,8.843589,0.6718649498928637,5.27659,0.6718649498928637
16,17,8.493012,0.6010289052409096,5.04918,0.6010289052409096
17,18,7.286197,0.5996238083390975,4.40619,0.5996238083390975
18,19,13.211027000000001,0.8326163220690489,9.07437,0.8326163220690489
19,20,3.546475,0.42464757900700817,2.62549,0.42464757900700817
20,21,9.390912,0.5576304255799964,5.48183,0.5576304255799964
21,22,7.581036,0.28411110002918244,4.64935,0.28411110002918244
22,23,10.34007,0.49919514448091656,9.6224,0.49919514448091656
23,24,7.9743390000000005,0.5576721266047839,5.36252,0.5539744795539633
24,25,7.166036,0.2790645519992974,4.80959,0.2790645519992974
25,26,8.447531999999999,0.5248887965522935,5.34239,0.4838402079704239
26,27,9.001124,0.6613435574880872,5.82009,0.6613435574880872
27,28,11.905702999999999,0.46483977113247726,6.71769,0.4648397711324772
28,29,8.416796999999999,0.8490281512021625,5.89165,0.8490281512021625
29,30,7.165667999999999,0.4427926861590638,4.59111,0.44279268615906386
30,31,8.089335,0.5112612515193066,5.30426,0.5112612515193066
31,32,9.200925999999999,0.6405067678815924,5.92107,0.6405067678815924
32,33,8.221143999999999,0.43345659832591343,4.92935,0.4212795382966566
