,instance,time_seconds_mean,total_cost_mean,time_seconds_min,total_cost_min
0,1,9.374134000000002,0.7925714285714286,6.62101,0.7925714285714286
1,2,9.181327,0.9779365079365079,6.72733,0.9779365079365079
2,3,11.855626,0.22555555555555556,6.41948,0.22555555555555556
3,4,3.9692819999999998,0.4923809523809524,2.68076,0.49238095238095236
4,5,3.6185270000000003,0.308648056923919,2.49022,0.308648056923919
5,6,7.194726,0.9765079365079365,5.78724,0.9765079365079365
6,7,21.32134,0.9928679583449214,13.6488,0.9928679583449214
7,8,10.368672,0.9904277643260693,7.42235,0.9904277643260694
8,9,21.57205,0.8026747720364742,13.81,0.8026747720364742
9,10,3.837363,0.6965333333333333,2.51688,0.6965333333333333
10,11,4.555223,0.9716825396825397,3.32568,0.9716825396825397
11,12,10.263119,0.6005714285714285,6.4051,0.6005714285714285
12,13,4.139404,0.8785150605326877,2.47393,0.8764132364810331
13,14,4.689547,0.8766278659611993,3.05161,0.8758871252204585
14,15,4.809680999999999,0.5971428571428572,2.96326,0.5971428571428572
15,16,9.284918000000001,0.9834173669467787,6.29478,0.9834173669467787
16,17,8.252599,0.22419155844155844,3.00091,0.223997113997114
17,18,8.620963,0.9796536796536797,6.28545,0.9796536796536797
18,19,9.118471000000001,0.23103619047619048,4.79306,0.23093333333333332
19,20,4.843754,0.4985938226222165,2.92331,0.4985938226222166
20,21,7.669462,0.5930884353741497,5.67943,0.5930884353741497
21,22,8.453592,0.923936507936508,5.44908,0.923936507936508
22,23,7.547725,0.973184519827998,5.55299,0.9731141901576684
23,24,8.292656,0.7863809523809524,5.8496,0.7863809523809524
24,25,8.907492999999999,0.6965482726423902,5.81213,0.6663081232492997
25,26,7.710210000000001,0.9702857142857143,5.17508,0.9702857142857143
26,27,9.315405,0.9832455648926237,6.30626,0.9832455648926237
27,28,7.8160110000000005,0.5411485042016807,4.89443,0.5192443697478991
28,29,13.347403,0.5345551515151514,5.86893,0.5345385281385281
29,30,7.371623,0.970615116514691,4.91233,0.970615116514691
30,31,9.539919000000001,0.597168253968254,5.67672,0.5970793650793651
31,32,8.061791,0.3392126984126984,5.70092,0.33866666666666667
32,33,8.50086,0.3009035040431267,5.00974,0.2990188679245283
33,34,8.271934,0.9398992592592592,5.47397,0.9398992592592592
34,35,7.614858,0.2874868347338936,4.31526,0.2862603327045104
35,36,10.961039,0.9653333333333334,7.65189,0.9653333333333334
36,37,13.868544,0.9937980952380953,9.50836,0.9937980952380953
37,38,7.878032,0.5810916336996337,4.81368,0.5664750183150183
38,39,9.002311,0.833846176046176,5.63789,0.8338461760461761
39,40,6.738004999999999,0.4444394432234432,4.49693,0.4148020512820513
40,41,13.608699000000001,0.9619863945578231,9.82331,0.9619863945578231
41,42,17.860400000000002,0.9759873015873015,13.3409,0.975936507936508
42,43,12.880889999999999,0.9653333333333334,10.0689,0.9653333333333334
43,44,11.331123,0.9648653968253968,9.25512,0.9648653968253968
44,45,19.502209999999998,0.9791863579898363,10.4354,0.978666516092603
45,46,14.23009,0.8591111111111112,10.0311,0.8591111111111112
46,47,15.306270000000001,0.9743099198673667,11.6039,0.9736433637284702
47,48,13.037163000000001,0.529635436345967,9.74676,0.5071500874635568
48,49,10.888135,0.970567619047619,9.02444,0.9704609523809524
49,50,14.843639999999999,0.688720634920635,9.22632,0.6504285714285715
50,51,11.59811,0.9705306122448981,9.76405,0.970530612244898
51,52,14.727419000000001,0.9146666666666666,9.81742,0.9146666666666666
52,53,13.475915,0.892825396825397,9.46972,0.8928253968253969
53,54,13.008832000000002,0.9587301587301587,8.30279,0.9587301587301588
54,55,14.15992,0.9847790087463556,11.1489,0.9846763848396501
55,56,12.527261,0.8690031746031746,7.86079,0.8688888888888889
56,57,14.372143,0.6456165079365079,8.68343,0.636
57,58,18.035140000000002,0.8784722424242425,15.8887,0.8654787878787878
58,59,9.851687,0.8942690476190476,7.29562,0.8938968253968254
59,60,11.687047,0.826938508898509,8.1908,0.8094316498316498
60,61,23.77892,0.9610115646258504,15.2479,0.9607346938775511
61,62,32.172430000000006,0.9727148337825696,21.0311,0.9725132973944295
62,63,23.475450000000002,0.8376815392015391,14.3451,0.8182920634920635
63,64,26.323590000000003,0.967861471861472,16.7632,0.9676551226551227
64,65,34.66384,0.6834081632653062,26.4626,0.6763130871396178
65,66,34.81232,0.9842539682539682,27.4693,0.9842539682539683
66,67,29.6747,0.6929238095238095,20.4124,0.6923174603174603
67,68,42.472660000000005,0.9828880597572363,30.3992,0.9828693930905695
68,69,25.492520000000003,0.8646723223443222,17.608,0.8458933333333334
69,70,32.34663,0.7934891721611722,22.7884,0.781796043956044
70,71,20.78339,0.9635873015873015,15.6617,0.9635873015873015
71,72,20.11067,0.9618730158730159,15.3172,0.9618730158730159
72,73,26.400709999999997,0.5334412698412698,18.1612,0.533079365079365
73,74,26.0768,0.9766285714285715,20.4065,0.9762261904761905
74,75,18.80463,0.9405329598506069,13.4128,0.9405329598506069
75,76,26.54128,0.9736825396825397,17.6471,0.9736825396825397
76,77,20.063589999999998,0.9164952380952383,14.2085,0.9136190476190477
77,78,23.270159999999997,0.394815873015873,16.4103,0.39101587301587304
78,79,24.65055,0.9760838561710399,16.0266,0.9760545772594752
79,80,22.25077,0.5446268235294117,15.6927,0.5297801680672269
80,81,66.53306,0.5563022222222223,51.379,0.5483174603174603
81,82,66.55329,0.9009371428571429,44.8255,0.8990984126984127
82,83,79.42665,0.8170907936507936,69.066,0.8049904761904761
83,84,78.95062,0.9787351958754517,66.0898,0.9785155847846385
84,85,76.27964,0.7789968253968255,64.1425,0.7634031746031746
85,86,72.6162,0.9740279365079365,58.8717,0.9739174603174603
86,87,53.00099,0.8752253968253969,42.6521,0.8685587301587302
87,88,55.51573,0.860644229529336,38.5782,0.850005489545915
88,89,69.55663000000001,0.9587809523809524,47.9779,0.9587809523809524
89,90,66.11715000000001,0.9681812556489262,45.5408,0.9679036713352007
90,91,50.44816,0.9612114285714286,40.0586,0.9610539682539683
91,92,49.8722,0.8827562478101608,34.6148,0.8803568721133939
92,93,60.16942,0.8014298412698413,41.3142,0.797079365079365
93,94,65.52419,0.45802155102040815,50.2251,0.44263684353741495
94,95,71.14421,0.9670622923886535,58.6856,0.9665711034099175
95,96,61.5963,0.974191746031746,50.8547,0.9740444444444445
96,97,56.82696,0.44157206349206346,45.3811,0.43333333333333335
97,98,46.0893,0.9621391120879121,34.7177,0.961777934065934
98,99,66.23323,0.9761475047619047,51.1242,0.9759740952380952
99,100,52.803470000000004,0.8539377777777778,39.7982,0.847352380952381
100,101,119.27520999999999,0.7795130158730159,96.3753,0.776
101,102,124.83722,0.9588226858150668,93.7198,0.9587033509700177
102,103,154.9788,0.8689546890756302,138.75,0.8593872044817927
103,104,133.3138,0.5006615873015873,105.82,0.4947047619047619
104,105,175.2922,0.9745396825396826,155.467,0.9743873015873016
105,106,126.1131,0.9664425396825397,104.642,0.9663555555555555
106,107,165.9045,0.9804886857142858,142.495,0.9803451428571428
107,108,120.93409999999999,0.7033117460317461,105.366,0.6991619047619048
108,109,117.41770999999999,0.8057606349206349,95.2394,0.7989904761904761
109,110,162.1749,0.9752056021563342,140.913,0.9750510979335131
110,111,146.62060000000002,0.9778704388422035,126.29,0.9776780578898226
111,112,117.55235,0.4205111111111111,92.5565,0.4145460317460318
112,113,89.99365,0.9608590476190477,81.8156,0.9607873015873016
113,114,115.5527,0.34302637535014,102.48,0.33238842203548086
114,115,153.4465,0.9730069841269842,128.009,0.9729142857142857
115,116,96.3183,0.8056469841269841,79.8069,0.7998666666666666
116,117,143.65540000000001,0.9266755555555555,118.457,0.9237079365079365
117,118,105.55245,0.961304126984127,80.9839,0.961168253968254
118,119,136.97179999999997,0.8606946031746032,108.726,0.8573206349206349
119,120,97.44134,0.9615923077497666,78.9951,0.961501639589169
