,instance,time_seconds_mean,total_cost_mean,time_seconds_min,total_cost_min
0,1,5.03571,0.692,3.44251,0.692
1,2,4.734662,0.7016666666666667,3.44987,0.7016666666666667
2,3,7.279402999999999,0.45,4.12685,0.45
3,4,3.960976,0.3933333333333333,2.49018,0.3933333333333333
4,5,3.449027,0.3974712643678161,2.3385,0.3974712643678161
5,6,5.0148530000000004,0.6733333333333333,3.10674,0.6733333333333333
6,7,11.412421,0.8538092147955872,8.28235,0.8538092147955872
7,8,13.178858,0.8694915254237288,7.79468,0.8694915254237288
8,9,12.310023,0.8280851063829788,8.51602,0.8280851063829787
9,10,3.8775199999999996,0.6372,2.34334,0.6372
10,11,4.393041,0.6293333333333333,2.88212,0.6293333333333333
11,12,4.983318,0.576,3.08084,0.576
12,13,3.9744070000000002,0.5963322033898305,2.55174,0.5843389830508474
13,14,3.378668,0.5788148148148148,2.64748,0.5788148148148148
14,15,3.940235,0.5526666666666666,2.62415,0.5526666666666666
15,16,10.386586,0.7858823529411765,5.88407,0.7858823529411765
16,17,8.649492,0.45346320346320346,4.11012,0.45175324675324674
17,18,10.423381000000001,0.7363636363636363,7.25734,0.7363636363636363
18,19,11.130061000000001,0.5304,7.49504,0.5304
19,20,4.281764,0.4572493345164153,2.63499,0.45724933451641525
20,21,7.864072,0.49142857142857144,5.32789,0.49142857142857144
21,22,8.019344,0.48533333333333334,4.73311,0.48533333333333334
22,23,8.434255,0.6394595317725753,5.25962,0.6390903010033445
23,24,8.618469000000001,0.6143333333333333,5.41286,0.6143333333333333
24,25,6.0239069999999995,0.49207843137254903,4.17729,0.49207843137254903
25,26,6.923959999999999,0.5946666666666667,4.86739,0.5946666666666667
26,27,8.496849999999998,0.7880784313725491,6.23724,0.7880784313725491
27,28,8.153102,0.4744533333333333,4.592,0.47445333333333334
28,29,7.911955999999999,0.692770909090909,5.4452,0.6926545454545454
29,30,5.697463000000001,0.6079387234042554,4.63039,0.6079387234042554
30,31,7.302868999999999,0.5189333333333334,5.13323,0.5189333333333334
31,32,7.97089,0.5173333333333333,5.14637,0.5173333333333333
32,33,7.165196,0.4942792452830188,4.47604,0.4926792452830189
33,34,8.011485,0.6996622222222222,5.15437,0.6996622222222222
34,35,4.732608,0.32913805522208883,3.79485,0.31940456182472987
35,36,11.661189,0.56,7.73114,0.56
36,37,12.873366999999998,0.9148799999999999,8.71946,0.91488
37,38,7.612791,0.5778510769230769,4.31989,0.5732923076923077
38,39,7.3384540000000005,0.7305515151515152,5.0205,0.7305515151515152
39,40,6.819319,0.5649649230769231,4.21878,0.5643815384615385
40,41,11.803965999999999,0.5148571428571429,9.15096,0.5148571428571429
41,42,16.77047,0.6601333333333333,11.8054,0.66
42,43,13.735728,0.56,9.38472,0.56
43,44,13.25412,0.5450066666666666,8.71332,0.5450066666666666
44,45,14.42296,0.7019298023715415,10.4596,0.6977422924901185
45,46,13.810140999999998,0.5901333333333333,9.05926,0.5901333333333333
46,47,14.334876,0.6367381044487427,8.85316,0.6331295938104449
47,48,11.248422999999999,0.5579510204081632,8.50244,0.5449763265306122
48,49,11.862987,0.6247999999999999,8.30753,0.62384
49,50,11.965625,0.5458166666666667,7.86797,0.5396666666666666
50,51,12.501681000000001,0.6165714285714285,8.95609,0.6165714285714285
51,52,12.16607,0.5909333333333333,9.11171,0.5906666666666667
52,53,12.349549999999999,0.5641333333333333,8.17998,0.564
53,54,9.538419999999999,0.4666666666666667,7.62116,0.4666666666666667
54,55,17.13972,0.7645387755102041,11.0903,0.7631020408163265
55,56,9.491431,0.49413333333333337,7.09269,0.49333333333333335
56,57,11.174455,0.5471999999999999,7.75275,0.544
57,58,13.181666000000002,0.670738909090909,9.02489,0.6706472727272728
58,59,11.325785,0.5737166666666667,6.66559,0.5693333333333334
59,60,13.177613,0.6508012121212121,7.88636,0.6425535353535353
60,61,22.32715,0.5003428571428572,15.6258,0.49714285714285716
61,62,25.31823,0.6450911320754716,20.0477,0.6396849056603774
62,63,20.21314,0.44863878787878786,13.5863,0.44136969696969697
63,64,22.00671,0.5761325757575758,15.3775,0.5745075757575757
64,65,29.79802,0.6202445578231293,21.5774,0.6132448979591837
65,66,32.60904,0.8006666666666666,25.9554,0.8006666666666666
66,67,24.35204,0.45866666666666667,16.9655,0.456
67,68,29.47272,0.7427606274509804,22.8323,0.7422086274509804
68,69,23.259430000000002,0.5486209230769231,15.9652,0.5441692307692307
